,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MU,NAT,NMDA,VAChT
Thalamus-left,-0.7837586473495318,-0.959155557918243,-0.18410427162993037,-1.1204832431737877,-1.3293192022311395,0.6693535294742574,2.1981840566462205,-1.6389739890907018,-1.1329821619172238,-0.8319516100363454,-0.93248459152078,-0.9969109936930136,-1.1586417471611825,-1.5010267478895423,-1.2284751522620807,0.22412928648076955,1.9195875577181338,0.9626087856886619,-0.8450973933196809
Caudate-left,-0.8931878985007307,-0.8141888125851259,-1.7151758294340544,0.6053897109787069,0.5822231107352399,-0.7742411271304399,-0.6362723741085581,-1.2405882625393074,0.5794771598053189,0.7171432576367445,0.09864689982243484,-0.9216454689767563,-0.25525701307399695,0.3073412976936765,-0.022719233556944808,-0.21219350746973464,-1.731960133828939,-0.23209783045455099,0.853529979236401
Putamen-left,-0.2895005401102033,0.4497585491632594,0.7084410332649287,1.510440790759862,1.7249108686512689,1.0269338410142432,-0.12401851732035962,0.7813741105201171,1.4791757942226849,1.542802328920972,0.6967991381316032,1.311167897783962,1.272038214610144,1.1890606700640578,1.3728400813364263,0.10985174738589618,-0.011966305025285267,1.3712144718489399,1.8549194320876994
Pallidum-left,-0.7860335373242204,1.4763324400822357,-0.6138034717772138,1.3107879934352114,-0.06392308661940896,1.365311558711323,-0.1531386951714794,1.4493140294291285,0.32832068789512836,-0.060505501751065956,1.2995324309297283,-0.5883388629629914,0.8636751243512647,-0.8524015864530184,-1.270342084915137,-0.8823652890664604,0.059612066854473476,0.34261556927411724,-0.3460709055937094
Hippocampus-left,1.7647618610653206,-1.1043655781843018,0.9363456850537836,-0.8184735460277139,-1.0045522406390923,-1.5853316993898512,-0.6573953029562024,-0.11384254876116565,-1.1604462899922707,-1.3995271149125619,-1.153412889507538,0.7552271420688963,-1.3066607131888517,-0.6509205416381669,-0.12808426448604385,-1.4882544062636893,-0.38665822031769026,0.35777536360900225,-1.0959025358127565
Amygdala-left,1.384004157537898,-0.31120898857468415,0.782462424773091,-0.9262913260967228,-0.8903111276374749,-0.16037091952437293,-0.7752129972667876,0.43622912860611324,-0.8721553528729687,-0.9190324334086463,-0.8735162619935064,-0.043770081642678406,-0.8781902420902381,0.0005403106911361331,0.03983184134772503,0.40526531384692077,-0.2714522899881921,-1.5057250267785007,-0.8464303193494166
Accumbens-left,-0.2583685081748257,1.4715993906315334,1.784678740247694,0.08514915516612727,0.37998778512435444,0.08480982076710704,-0.14138736006894528,0.2674370630257066,1.0261199218567636,0.7187616964065354,1.4474076439230932,2.116584146398577,0.821419630286646,1.5393077080201443,1.5394956665572457,2.0311132587094294,0.21853649241831308,0.19282576396407175,0.7539364039268887
Thalamus-right,-0.7685486260069162,-0.8904521376271748,-0.08559704116091621,-1.1290376935500874,-1.1579285199173013,0.8754302803457168,2.5382115272208132,-1.528159864202313,-1.1243171068286952,-0.7364194437070138,-1.1520959793086907,-1.0768640627872534,-1.0443493871855458,-1.4919686896074564,-1.1864202058086675,0.5930838823066448,1.9037772999315346,1.4641592134242807,-0.8298073981576802
Caudate-right,-0.8879003704395206,-0.9851464049613967,-1.8510891449612814,0.2061627808401053,0.8524062336858219,-1.1719188016326139,-0.45213923793490646,-1.2547963071080863,0.47854145384090235,0.7271228604404494,-0.11414149234035177,-0.6340841946456426,-0.28705185645701925,0.241426805408488,-0.01760959147617294,-0.19196108990690222,-1.7798481792505008,-1.3854789527188713,0.6370855809358378
Putamen-right,-0.46760388547818205,0.462591995034031,-0.08335213266839077,1.6213111068258017,1.7031430955672173,1.074454270193047,-0.08131212311074174,0.920369856670027,1.686957898990819,1.6674314707593438,1.1971440566212437,0.7225093930989047,1.148240659854804,1.3157383318158857,1.4336967692451716,0.22090807603727783,0.22471104455411706,1.1838677128009985,1.7858765218182588
Pallidum-right,-0.834329075211764,1.4061190620091326,-1.0209353608231226,0.9237311186394569,0.5215947753922449,0.9662532431076132,-0.2670917746195669,1.347451025772997,0.12330673684763277,0.19078518893230997,0.8904951312479085,-1.0589183668491997,0.621152890361646,-0.8105064224224113,-1.2643661845318235,-1.0587671362672162,0.1479227997691617,-0.38222779258783623,-0.19236212930279856
Hippocampus-right,1.687104011256819,-1.0214113091315786,0.2740990686125328,-0.92010866114399,-0.8531693473429294,-1.7310888401907112,-0.6008909753200906,-0.06823943277088194,-1.1761075078793721,-1.3760637380779097,-1.2423710809135449,-0.03688873815443097,-1.1996575357195358,-0.6452579703479581,-0.31982816607557735,-1.60524872619983,-0.314839525457549,-0.1832455690798613,-1.1039423680975156
Amygdala-right,1.2763657442465746,-0.37110878916301276,0.11990401066324728,-1.0538740687387385,-0.9004239150585873,-0.49094212595068143,-0.7599763737152484,0.26941084549853606,-0.8793311635048956,-0.9201222815319027,-0.9851446245248503,-0.7042792712770122,-0.2401489034643009,0.084712067272121,-0.13966799393507318,0.3128654263498286,-0.18475879186646962,-1.619946523565728,-0.9356281162134243
Accumbens-right,-0.1430046855107199,1.1906361412253266,0.9481262898396309,-0.29470411791423057,0.435361570289787,-0.1486530297946387,-0.08755985227414854,0.3730143449498286,0.643439929536179,0.6795753203290928,0.8231416194332543,1.1562114616386399,1.6434308788761645,1.2739547673930431,1.1916485185609544,1.5415731640570616,0.20733618448889235,-0.5663451854247358,0.30989324784189815
